order_item_id,order_id,product_id,quantity,unit_price
OI34062,O5085,P243,5,
OI97734,O5086,P238,5,327.74
OI71844,O5086,P999,3,N/A
OI64958,O5086,P233,0,
OI53261,O5087,P204,,89.76
OI50527,O5087,P257,10,-20.0
OI91958,O5089,P252,10,164.46
OI73202,O5089,P226,-1,277.98
OI90833,O5091,P233,10,N/A
OI42713,O5091,P257,1,92.04
OI32131,O5091,P269,2,N/A
OI11445,O5092,P268,10,-20.0
OI62333,O5092,P240,2,-20.0
OI58407,O5093,P265,10,N/A
OI92169,O5093,P258,-1,159.52
OI49909,O5094,P227,3,
OI28735,O5094,P248,-1,95.26
OI11237,O5094,P252,1,N/A
OI38787,O5095,P264,0,
OI45830,O5095,P209,0,N/A
OI92394,O5096,P255,2,-20.0
OI67170,O5096,P260,0,
OI16050,O5097,,1,
OI80381,O5097,P260,-1,N/A
OI34680,O5097,P261,0,
OI18496,O5098,P224,1,N/A
OI77850,O5098,P245,,107.68
OI19458,O5099,P264,1,386.55
OI90527,O5100,P250,1,-20.0
OI12014,O5101,P244,-1,N/A
OI96281,O5101,P227,5,
OI35710,O5102,P202,2,N/A
OI50667,O5102,P253,5,N/A
OI77349,O5103,P254,5,248.82
OI47339,O5103,P216,10,476.25
OI64932,O5104,P243,10,N/A
OI48398,O5104,P202,5,N/A
OI37424,O5105,P212,-1,13.0
OI87361,O5105,P245,1,
OI61791,O5106,P256,5,326.73
OI28738,O5107,P266,0,52.48
OI10472,O5107,P222,10,-20.0
OI83542,O5108,P269,2,389.23
OI49525,O5108,P265,2,
OI27002,O5108,P212,10,
OI28042,O5109,P214,3,
OI63273,O5109,P216,0,
OI74675,O5110,P239,1,N/A
OI75660,O5111,P213,0,N/A
OI88612,O5111,P234,5,-20.0
OI72504,O5111,P250,-1,N/A
OI39185,O5112,P213,-1,N/A
OI73440,O5112,P230,,N/A
OI89848,O5113,,1,-20.0
OI58936,O5114,P252,2,146.46
OI21201,O5114,P251,5,N/A
OI14264,O5114,P241,3,N/A
OI94183,O5114,P237,1,-20.0
OI68678,O5116,P256,2,225.28
OI25186,O5116,P246,2,-20.0
OI67244,O5118,P250,,
OI86784,O5118,P242,5,
OI63846,O5120,P221,1,132.24
OI43397,O5120,P249,5,-20.0
OI90954,O5120,P209,3,-20.0
OI60688,O5120,P263,2,119.5
OI17805,O5001,P205,5,440.38
OI17805,O5001,P205,5,440.38
